cycle number,time/s,Ecell/V,I/mA,Q charge/mA.h
27.0,737332.1676459797,3.5140362,0.88003385,0.2582836213008894
27.0,737362.1676491089,3.5145481,0.88001418,0.2656166461892592
27.0,737392.1676522382,3.5149419,0.88003385,0.2729496708113617
27.0,737422.1676553674,3.5153751,0.88005358,0.2802826856969131
27.0,737452.1676584966,3.515769,0.87999451,0.287615714531872
27.0,737482.1676616259,3.5161629,0.87999451,0.2949487293971247
27.0,737512.1676647551,3.5167534,0.88017172,0.302281760289669
27.0,737542.1676678844,3.5170686,0.87999451,0.3096147826481859
27.0,737572.1676710136,3.5175018,0.87989604,0.3169477999416325
27.0,737602.1676741429,3.517935,0.87989604,0.3242808436337776
27.0,737632.1676772721,3.5184076,0.87995511,0.3316138783987364
27.0,737662.1676804014,3.5188801,0.87991571,0.338946918646031
27.0,737692.1676835306,3.5193529,0.87997478,0.3462799561257164
27.0,737722.1676866598,3.5196679,0.87975818,0.3536129870183269
27.0,737752.1676897891,3.5202193,0.88001418,0.3609460072329972
27.0,737782.1676929183,3.5206525,0.87993538,0.3682790171890458
27.0,737812.1676960476,3.5212038,0.87979758,0.3756120218575001
27.0,737842.1676991768,3.5215976,0.88003385,0.3829450292822388
27.0,737872.1677023061,3.5221884,0.87989604,0.3902780427352588
27.0,737902.1677054353,3.5225427,0.87987632,0.3976110618118777
27.0,737932.1677085645,3.5229759,0.87999451,0.404944076742861
27.0,737962.1677116938,3.5234487,0.87989604,0.4122770868173904
27.0,737992.167714823,3.5239606,0.87995511,0.4196101113637951
27.0,738022.1677179523,3.5245121,0.88005358,0.4269431266675393
27.0,738052.1677210815,3.5249453,0.88001418,0.434276136174202
27.0,738082.1677242108,3.5254571,0.87983698,0.4416091508415673
27.0,738112.16772734,3.5259297,0.87985665,0.4489421557717522
